datetime,nat_demand
25-01-2020 15:00,1279.8749
25-01-2020 16:00,1347.5956
25-01-2020 17:00,1345.9392
25-01-2020 18:00,1356.5419
25-01-2020 19:00,1403.2392
25-01-2020 20:00,1365.3359
25-01-2020 21:00,1325.6264
25-01-2020 22:00,1265.3892
25-01-2020 23:00,1223.7536
26-01-2020 00:00,1176.4033
26-01-2020 01:00,1129.6035
26-01-2020 02:00,1102.8886
26-01-2020 03:00,1078.1751
26-01-2020 04:00,1058.9126
26-01-2020 05:00,1070.5332
26-01-2020 06:00,1057.5085
26-01-2020 07:00,987.8207
26-01-2020 08:00,975.9383
26-01-2020 09:00,1016.5135
26-01-2020 10:00,1084.3228
26-01-2020 11:00,1254.7263
26-01-2020 12:00,1275.5838
26-01-2020 13:00,1286.2857
26-01-2020 14:00,1242.6019
26-01-2020 15:00,1191.3228
26-01-2020 16:00,1163.2973
26-01-2020 17:00,1134.511
26-01-2020 18:00,1173.5241
26-01-2020 19:00,1229.2865
26-01-2020 20:00,1254.3629
26-01-2020 21:00,1209.8023
26-01-2020 22:00,1138.4192
26-01-2020 23:00,1103.7199
27-01-2020 00:00,1069.7846
27-01-2020 01:00,1015.1037
27-01-2020 02:00,993.3495
27-01-2020 03:00,959.2778
27-01-2020 04:00,963.863
27-01-2020 05:00,969.7378
27-01-2020 06:00,1019.8549
27-01-2020 07:00,1119.6751
27-01-2020 08:00,1287.7123
27-01-2020 09:00,1407.6856
27-01-2020 10:00,1447.1605
27-01-2020 11:00,1510.0024
27-01-2020 12:00,1486.2487
27-01-2020 13:00,1501.7652
27-01-2020 14:00,1494.4585
27-01-2020 15:00,1465.1472
27-01-2020 16:00,1404.996
27-01-2020 17:00,1297.4436
27-01-2020 18:00,1314.5047
27-01-2020 19:00,1349.8741
27-01-2020 20:00,1282.6779
27-01-2020 21:00,1249.0524
27-01-2020 22:00,1211.4175
27-01-2020 23:00,1153.7963
28-01-2020 00:00,1066.2002
28-01-2020 01:00,1018.2677
28-01-2020 02:00,1000.7761
28-01-2020 03:00,979.772
28-01-2020 04:00,986.9085
28-01-2020 05:00,999.0189
28-01-2020 06:00,1015.5231
28-01-2020 07:00,1114.2542
28-01-2020 08:00,1271.1063
28-01-2020 09:00,1373.8753
28-01-2020 10:00,1437.3484
28-01-2020 11:00,1484.0925
28-01-2020 12:00,1493.1773
28-01-2020 13:00,1543.3449
28-01-2020 14:00,1535.5058
28-01-2020 15:00,1511.627
28-01-2020 16:00,1423.3222
28-01-2020 17:00,1322.8391
28-01-2020 18:00,1336.2392
28-01-2020 19:00,1382.8869
28-01-2020 20:00,1340.0135
28-01-2020 21:00,1294.2311
28-01-2020 22:00,1241.4446
28-01-2020 23:00,1166.8151
29-01-2020 00:00,1081.2642
29-01-2020 01:00,1022.7248
29-01-2020 02:00,995.5095
29-01-2020 03:00,972.7319
29-01-2020 04:00,973.2948
29-01-2020 05:00,1008.0047
29-01-2020 06:00,1031.8907
29-01-2020 07:00,1116.305
29-01-2020 08:00,1295.5059
29-01-2020 09:00,1389.2522
29-01-2020 10:00,1466.0188
29-01-2020 11:00,1495.9433
29-01-2020 12:00,1489.3484
29-01-2020 13:00,1526.6092
29-01-2020 14:00,1545.3077
29-01-2020 15:00,1535.466
29-01-2020 16:00,1455.4409
29-01-2020 17:00,1335.1943
29-01-2020 18:00,1320.2333
29-01-2020 19:00,1353.9012
29-01-2020 20:00,1302.7987
29-01-2020 21:00,1276.2871
29-01-2020 22:00,1188.2707
29-01-2020 23:00,1123.2385
30-01-2020 00:00,1089.4097
30-01-2020 01:00,1027.9816
30-01-2020 02:00,999.2789
30-01-2020 03:00,988.2487
30-01-2020 04:00,975.7573
30-01-2020 05:00,979.7745
30-01-2020 06:00,1014.5294
30-01-2020 07:00,1107.3036
30-01-2020 08:00,1260.5969
30-01-2020 09:00,1367.7751
30-01-2020 10:00,1460.4033
30-01-2020 11:00,1514.2117
30-01-2020 12:00,1514.5584
30-01-2020 13:00,1553.1363
30-01-2020 14:00,1584.1562
30-01-2020 15:00,1540.8524
30-01-2020 16:00,1459.5985
30-01-2020 17:00,1327.1759
30-01-2020 18:00,1330.1841
30-01-2020 19:00,1366.5459
30-01-2020 20:00,1315.6483
30-01-2020 21:00,1269.448
30-01-2020 22:00,1221.9461
30-01-2020 23:00,1164.8365
31-01-2020 00:00,1088.6623
31-01-2020 01:00,1070.4036
31-01-2020 02:00,1033.1755
31-01-2020 03:00,1019.9394
31-01-2020 04:00,998.186
31-01-2020 05:00,1032.8507
31-01-2020 06:00,1048.9941
31-01-2020 07:00,1147.3125
31-01-2020 08:00,1282.4355
31-01-2020 09:00,1390.2512
31-01-2020 10:00,1469.2199
31-01-2020 11:00,1495.1555
31-01-2020 12:00,1489.2597
31-01-2020 13:00,1529.0112
31-01-2020 14:00,1545.1395
31-01-2020 15:00,1528.1555
31-01-2020 16:00,1424.2791
31-01-2020 17:00,1312.9865
31-01-2020 18:00,1342.0698
31-01-2020 19:00,1376.9838
31-01-2020 20:00,1348.6508
31-01-2020 21:00,1307.8774
31-01-2020 22:00,1250.3269
31-01-2020 23:00,1196.8205
